"animeName","score","ranked","popularity","membre"
"Owarimonogatari",8.46,127,397,402846
"Mushishi Zoku Shou: Odoro no Michi",8.45,128,1788,84823
"Yuu<U+2606>Yuu<U+2606>Hakusho",8.45,129,276,548991
"Golden Kamuy 3rd Season",8.45,130,1512,106011
"Mahou Shoujo Madoka<U+2605>Magica Movie 3: Hangyaku no Monogatari",8.45,131,530,315327
"Mo Dao Zu Shi: Xian Yun Pian",8.45,132,2000,70547
"Gintama: Yorinuki Gintama-san on Theater 2D",8.44,133,2942,36148
"Koukaku Kidoutai: Stand Alone Complex",8.44,134,474,348043
"Mononoke",8.44,135,682,253943
"Saiki Kusuo no <U+03A8>-nan 2",8.44,136,343,462624
"Saiki Kusuo no <U+03A8>-nan",8.43,137,147,786711
"Sayonara no Asa ni Yakusoku no Hana wo Kazarou",8.43,138,539,310830
"JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season",8.43,139,142,801002
"Major S5",8.43,140,2200,61886
"Grand Blue",8.42,141,273,549409
"Kara no Kyoukai 7: Satsujin Kousatsu (Go)",8.42,142,970,178846
"Kaze ga Tsuyoku Fuiteiru",8.42,143,746,234415
"Kono Oto Tomare! 2nd Season",8.42,144,1446,111646
"Natsume Yuujinchou Movie: Utsusemi ni Musubu",8.42,145,2385,53601
"Non Non Biyori Nonstop",8.41,146,1792,85190
"Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season",8.41,147,135,820023
"Shingeki no Kyojin: Kuinaki Sentaku",8.41,148,408,395983
"Tensei shitara Slime Datta Ken 2nd Season",8.41,149,246,586379
"Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan",8.41,150,305,519510
"Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season",8.41,147,135,820023
"Shingeki no Kyojin: Kuinaki Sentaku",8.41,148,408,395983
"Tensei shitara Slime Datta Ken 2nd Season",8.41,149,246,586379
"Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan",8.41,150,305,519510
"Natsume Yuujinchou Roku Specials",8.4,161,2914,36622
"Usagi Drop",8.4,162,373,426557
"Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou",8.4,163,644,268328
"Baccano!",8.4,155,150,782530
"Barakamon",8.4,156,263,558417
"Gotcha!",8.4,157,3863,21246
"Houseki no Kuni (TV)",8.4,158,469,351717
"Hunter x Hunter",8.4,159,335,480295
"Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen",8.4,160,74,1212173
"Kizumonogatari I: Tekketsu-hen",8.39,164,370,428552
"Mahou Shoujo Madoka<U+2605>Magica Movie 2: Eien no Monogatari",8.39,165,980,175484
"Cowboy Bebop: Tengoku no Tobira",8.38,166,552,305087
"Douluo Dalu: Xiaowu Juebie",8.38,167,6159,6815
"Hellsing Ultimate",8.38,168,157,756865
"Kaze no Tani no Nausicaä",8.38,169,549,305927
"Tian Guan Ci Fu",8.38,170,2065,68622
"Wu Liuqi Zhi Xuanwu Guo Pian",8.38,171,4739,13151
"Bakuman. 2nd Season",8.37,172,538,311334
"Kamisama Hajimemashita: Kako-hen",8.37,173,1284,133044
"Kiseijuu: Sei no Kakuritsu",8.37,174,41,1476750
"Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.",8.36,175,55,1347688
"Kingdom 2nd Season",8.36,176,1723,89820
"Mahou Shoujo Madoka<U+2605>Magica",8.36,177,87,1072659
"Mushoku Tensei: Isekai Ittara Honki Dasu",8.36,178,198,673280
"Psycho-Pass",8.36,179,52,1363164
"Tensei shitara Slime Datta Ken 2nd Season Part 2",8.35,180,442,369935
"One Outs",8.35,181,874,200684
"Tenki no Ko",8.35,182,196,670341
"Uchuu Senkan Yamato 2199",8.35,183,1611,99141
"Bakemonogatari",8.35,184,76,1195847
"Gintama: Shiroyasha Koutan",8.35,185,2255,58772
"Given",8.35,186,419,389462
"Haikyuu!!: To the Top",8.35,187,212,657263
"Major S6",8.35,188,2363,54581
